factor_arribo,tasa_arribo,tasa_servicio,rho,capacidad_cola,modelo_cola,tiempo_simulacion,replicas,estado_teorico,metrica,media,desvio_estandar,semiancho_ic95,teoria,error_porcentual
1.0,10.0,10.0,1.0,0,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_cola,0.0,0.0,0.0,0.0,0.0
1.0,10.0,10.0,1.0,0,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_sistema,0.10030230780668463,0.0004939554543687053,0.00035332989631356974,0.1,0.30230780668462354
1.0,10.0,10.0,1.0,0,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_cola,0.0,0.0,0.0,0.0,0.0
1.0,10.0,10.0,1.0,0,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,utilizacion_servidor,0.5009200817640284,0.001219272781910032,0.0008721546078700879,0.5,0.18401635280567152
1.0,10.0,10.0,1.0,0,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,probabilidad_denegacion,0.5008547804253896,0.00198252768185012,0.001418116338369285,0.5,0.17095608507791127
1.0,10.0,10.0,1.0,2,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_sistema,1.497069760397582,0.003574807818209739,0.0025570857950404863,1.5,-0.19534930682786703
1.0,10.0,10.0,1.0,2,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_cola,0.7481885036503888,0.002967437099382048,0.0021226291427062054,0.75,-0.24153284661482624
1.0,10.0,10.0,1.0,2,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_sistema,0.19959158788102052,0.0006028038882699496,0.0004311899655244133,0.2,-0.2042060594897449
1.0,10.0,10.0,1.0,2,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,tiempo_promedio_cola,0.09974829478799638,0.0004129571441288579,0.00029539122126604747,0.1,-0.25170521200362783
1.0,10.0,10.0,1.0,2,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,utilizacion_servidor,0.7488812567471903,0.0010814753710094642,0.0007735871267841647,0.75,-0.1491657670412927
1.0,10.0,10.0,1.0,2,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,probabilidad_denegacion,0.24918881355283545,0.0013861934115722916,0.0009915541372194263,0.25,-0.32447457886581876
1.0,10.0,10.0,1.0,5,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_sistema,2.994337935915009,0.01562243247071702,0.011174838532958009,3.0,-0.1887354694997049
1.0,10.0,10.0,1.0,5,M/M/1/K,10000.0,10,capacidad_finita_regimen_estacionario,promedio_clientes_cola,2.137268673620532,0.014473510711197174,0.01035300651840445,2.142857142857143,-0.2607952310418386
